Location,Incumbent,Party,First_elected,results,candidates,notes
Texas 7,John Culberson,Republican,2000,Incumbent renominated.,"John Culberson (Republican)[175]
Lizzie Pannill Fletcher (Democratic)[175]",
Texas 8,Kevin Brady,Republican,1996,Incumbent renominated.,"Kevin Brady (Republican)[175]
Steven David (Democratic)[175]
Chris Duncan (Libertarian)[174]",
Texas 9,Al Green,Democratic,2004,Incumbent renominated.,"Al Green (Democratic)[175]
Benjamin Hernandez (Independent)[176]
Phil Kurtz (Libertarian)[174]
Kesha Rogers (Independent)[176]",
Texas 10,Michael McCaul,Republican,2004,Incumbent renominated.,"Michael McCaul (Republican)[175]
Mike Ryan (Libertarian)[174]
Mike Siegel (Democratic)[175]",
Texas 11,Mike Conaway,Republican,2004,Incumbent renominated.,"Mike Conaway (Republican)[175]
Jennie Lou Leeder (Democratic)[175]
Rhett Rosenquest Smith (Libertarian)[174]",
Texas 12,Kay Granger,Republican,1996,Incumbent renominated.,"Vanessa Adia (Democratic)[175]
Kay Granger (Republican)[175]
Jacob Leddy (Libertarian)[174]",
Texas 13,Mac Thornberry,Republican,1994,Incumbent renominated.,"Calvin DeWeese (Libertarian)[174]
Greg Sagan (Democratic)[175]
Mac Thornberry (Republican)[175]",
Texas 14,Randy Weber,Republican,2012,Incumbent renominated.,"Adrienne Bell (Democratic)[175]
Don Conley III (Libertarian)[174]
Randy Weber (Republican)[175]",
Texas 15,Vicente González,Democratic,2016,Incumbent renominated.,"Anthony Cristo (Libertarian)[174]
Vicente González (Democratic)[175]
Tim Westley (Republican)[175]",
Texas 16,Beto O'Rourke,Democratic,2012,Incumbent retiring to run for U.S. Senator.,"Veronica Escobar (Democratic)[175]
Ben Mendoze (Independent)[176]
Rick Seeberger (Republican)[175]",
Texas 17,Bill Flores,Republican,2010,Incumbent renominated.,"Peter Churchman (Libertarian)[174]
Bill Flores (Republican)[175]
Rick Kennedy (Democratic)[175]",
Texas 18,Sheila Jackson Lee,Democratic,1994,Incumbent renominated.,"Sheila Jackson Lee (Democratic)[175]
Ava Pate (Republican)[175]
Luke Spencer (Libertarian)[174]",
Texas 19,Jodey Arrington,Republican,2016,Incumbent renominated.,"Jodey Arrington (Republican)[175]
Miguel Levario (Democratic)[175]",
Texas 20,Joaquín Castro,Democratic,2012,Incumbent renominated.,"Jeffrey Blunt (Libertarian)[174]
Joaquín Castro (Democratic)[175]",
Texas 21,Lamar Smith,Republican,1986,Incumbent retiring.,"Joseph Kopser (Democratic)[175]
Chip Roy (Republican)[175]
Lee Santos (Libertarian)[174]",
Texas 22,Pete Olson,Republican,2008,Incumbent renominated.,"Sri Preston Kulkarni (Democratic)[175]
John McElligott (Libertarian)[174]
Pete Olson (Republican)[175]
Kellen Sweny (Independent)[176]",
Texas 23,Will Hurd,Republican,2014,Incumbent renominated.,"Ruben Corvalan (Libertarian)[174]
Will Hurd (Republican)[175]
Gina Ortiz Jones (Democratic)[175]",
Texas 24,Kenny Marchant,Republican,2004,Incumbent renominated.,"Mike Kolls (Libertarian)[174]
Kenny Marchant (Republican)[175]
Jan McDowell (Democratic)[175]",
Texas 25,Roger Williams,Republican,2012,Incumbent renominated.,"Desarae Lindsey (Libertarian)[174]
Martin Luecke (Independent)[176]
Julie Oliver (Democratic)[175]
Roger Williams (Republican)[175]",
Texas 26,Michael Burgess,Republican,2002,Incumbent renominated.,"Mark Boler (Libertarian)[174]
Michael Burgess (Republican)[175]
Linsey Fagan (Democratic)[175]",
Texas 27,Michael Cloud,Republican,2018,Incumbent nominated before winning special election.,"Michael Cloud (Republican)[175]
James Duerr (Independent)[176]
Eric Holguin (Democratic)[175]
Daniel Tinus (Libertarian)[174]",
Texas 28,Henry Cuellar,Democratic,2004,Incumbent renominated.,"Henry Cuellar (Democratic)[175]
Arthur Thomas IV (Libertarian)[174]",
Texas 29,Gene Green,Democratic,1992,Incumbent retiring.,"Phillip Aronoff (Republican)[175]
Cullen Burns (Libertarian)[174]
Sylvia Garcia (Democratic)[175]",
Texas 30,Eddie Bernice Johnson,Democratic,1992,Incumbent renominated.,"Eddie Bernice Johnson (Democratic)[175]
Shawn Jones (Libertarian)[174]",
Texas 31,John Carter,Republican,2002,Incumbent renominated.,"John Carter (Republican)[175]
Mary Jennings Hegar (Democratic)[175]
Jason Hope (Libertarian)[174]",
Texas 32,Pete Sessions,Republican,1996,Incumbent renominated.,"Colin Allred (Democratic)[175]
Melina Baker (Libertarian)[174]
Pete Sessions (Republican)[175]",
Texas 33,Marc Veasey,Democratic,2012,Incumbent renominated.,"Willie Billups (Republican)[175]
Jason Reeves (Libertarian)[174]
Marc Veasey (Democratic)[175]",
Texas 34,Filemon Vela Jr.,Democratic,2012,Incumbent renominated.,"Rey Gonzalez (Republican)[175]
Filemon Vela Jr. (Democratic)[175]",
Texas 35,Lloyd Doggett,Democratic,1994,Incumbent renominated.,"Lloyd Doggett (Democratic)[175]
David Smalling (Republican)[175]
Clark Patterson (Libertarian)[174]",
Texas 36,Brian Babin,Republican,2014,Incumbent renominated.,"Brian Babin (Republican)[175]
Dayna Steele (Democratic)[175]",
Utah 1,Rob Bishop,Republican,2002,Incumbent renominated.,"Rob Bishop (Republican)[177]
Lee Castillo (Democratic)[178]
Adam Davis (Green)[178]
Eric Eliason (United Utah)[178]",
Utah 2,Chris Stewart,Republican,2012,Incumbent renominated.,"Shireen Ghorbani (Democratic)[178]
Chris Stewart (Republican)[177]
Jeffrey Whipple (Libertarian)[178]",
Utah 3,John Curtis,Republican,2017,Incumbent renominated.,"John Curtis (Republican)[178]
Gregory Duerden (Independent American)[178]
James Singer (Democratic)[178]
Timothy Zeidner (United Utah)[178]",
Utah 4,Mia Love,Republican,2014,Incumbent renominated.,"Mia Love (Republican)[178]
Ben McAdams (Democratic)[178]",
Vermont 1,Peter Welch,Democratic,2006,Incumbent renominated.,"Anya Tynio (Republican)[179]
Peter Welch (Democratic)[179]",
Virginia 1,Rob Wittman,Republican,2007,Incumbent renominated.,"Vangie Williams (Democratic)[180]
Rob Wittman (Republican)[181]",
Virginia 2,Scott Taylor,Republican,2016,Incumbent renominated.,"Elaine Luria (Democratic)[180]
Scott Taylor (Republican)[182]",
Virginia 3,Bobby Scott,Democratic,1992,Incumbent renominated.,Bobby Scott (Democratic)[181],
Virginia 4,Donald McEachin,Democratic,2016,Incumbent renominated.,"Ryan McAdams (Republican)[182]
Donald McEachin (Democratic)[181]
Pete Wells (Libertarian)[183]",
Virginia 5,Tom Garrett,Republican,2016,Incumbent retiring.,"Leslie Cockburn (Democratic)[184]
Denver Riggleman (Republican)[185]",
Virginia 6,Bob Goodlatte,Republican,1992,Incumbent retiring.,"Ben Cline (Republican)[186]
Jennifer Lewis (Democratic)[180]",
Virginia 7,Dave Brat,Republican,2014,Incumbent renominated.,"Dave Brat (Republican)[187]
Abigail Spanberger (Democratic)[180]
Joe Walton (Libertarian)[183]",
Virginia 8,Don Beyer,Democratic,2014,Incumbent renominated.,"Don Beyer (Democratic)[181]
Thomas Oh (Republican)[188]",
Virginia 9,Morgan Griffith,Republican,2010,Incumbent renominated.,"Anthony Flaccavento (Democratic)[180]
Morgan Griffith (Republican)[181]",
Virginia 10,Barbara Comstock,Republican,2014,Incumbent renominated.,"Barbara Comstock (Republican)[182]
Jennifer Wexton (Democratic)[180]",
Virginia 11,Gerry Connolly,Democratic,2008,Incumbent renominated.,"Gerry Connolly (Democratic)[181]
Jeff Dove (Republican)[181]
Stevan Porter (Libertarian)[189]",
Washington 1,Suzan DelBene,Democratic,2012,Incumbent renominated.,"Jeffrey Beeler (Republican)[190]
Suzan DelBene (Democratic)[190]",
Washington 2,Rick Larsen,Democratic,2000,Incumbent renominated.,"Rick Larsen (Democratic)[190]
Brian Luke (Libertarian)[190]",
Washington 3,Jaime Herrera Beutler,Republican,2010,Incumbent renominated.,"Jaime Herrera Beutler (Republican)[190]
Carolyn Long (Democratic)[190]",
Washington 4,Dan Newhouse,Republican,2014,Incumbent renominated.,"Christine Brown (Democratic)[190]
Dan Newhouse (Republican)[190]",
Washington 5,Cathy McMorris Rodgers,Republican,2004,Incumbent renominated.,"Lisa Brown (Democratic)[190]
Cathy McMorris Rodgers (Republican)[190]",
Washington 6,Derek Kilmer,Democratic,2012,Incumbent renominated.,"Douglas Dightman (Republican)[190]
Derek Kilmer (Democratic)[190]",
Washington 7,Pramila Jayapal,Democratic,2016,Incumbent renominated.,"Pramila Jayapal (Democratic)[190]
Craig Keller (Republican)[190]",
Washington 8,Dave Reichert,Republican,2004,Incumbent retiring.,"Dino Rossi (Republican)[190]
Kim Schrier (Democratic)[190][191]",
Washington 9,Adam Smith,Democratic,1996,Incumbent renominated.,"Adam Smith (Democratic)[190]
Sarah Smith (Democratic)[190][191]",
Washington 10,Denny Heck,Democratic,2012,Incumbent renominated.,"Joseph Brumbles (Republican)[190]
Denny Heck (Democratic)[190]",
West Virginia 1,David McKinley,Republican,2010,Incumbent renominated.,"Kendra Fershee (Democratic)[192]
David McKinley (Republican)[192]",
West Virginia 2,Alex Mooney,Republican,2014,Incumbent renominated.,"Daniel Lutz (Mountain)[193][194]
Alex Mooney (Republican)[192]
Talley Sergent (Democratic)[192]",
West Virginia 3,Evan Jenkins,Republican,2014,"Representative Evan Jenkins (R) resigned September 30, 2018.[k]
New member to be elected.","Carol Miller (Republican)[192]
Richard Ojeda (Democratic)[192]",
Wisconsin 1,Paul Ryan,Republican,1998,Incumbent retiring.,"Randy Bryce (Democratic)[195]
Bryan Steil (Republican)[195]
Ken Yorgan (Independent)[195]",
Wisconsin 2,Mark Pocan,Democratic,2012,Incumbent renominated.,Mark Pocan (Democratic)[195],
Wisconsin 3,Ron Kind,Democratic,1996,Incumbent renominated.,"Ron Kind (Democratic)[195]
Steve Toft (Republican)[195]",
Wisconsin 4,Gwen Moore,Democratic,2004,Incumbent renominated.,"Gwen Moore (Democratic)[195]
Robert Raymond (Independent)[195]
Tim Rogers (Republican)[195]",
Wisconsin 5,Jim Sensenbrenner,Republican,1978,Incumbent renominated.,"Tom Palzewicz (Democratic)[195]
Jim Sensenbrenner (Republican)[195]",
Wisconsin 6,Glenn Grothman,Republican,2014,Incumbent renominated.,"Glenn Grothman (Republican)[195]
Dan Kohl (Democratic)[195]",
Wisconsin 7,Sean Duffy,Republican,2010,Incumbent renominated.,"Ken Driessen (Direct Participatory Democracy)[195]
Sean Duffy (Republican)[195]
Margaret Engebretson (Democratic)[195]",
Wisconsin 8,Mike Gallagher,Republican,2016,Incumbent renominated.,"Mike Gallagher (Republican)[195]
Beau Liegeois (Democratic)[195]",
Wyoming 1,Liz Cheney,Republican,2016,Incumbent renominated.,"Liz Cheney (Republican)[196]
Greg Hunter (Democratic)[196]",
